fbref_id,ime,tekmovanja,tekme,min,goli,asistence,G+A
169df85b,Rome-Jayden Owusu-Oduro,"['eredivisie', 'conference_league']",31,2771,0,1,1
e4eea72d,Luca Oyen,['eredivisie'],14,471,1,0,1
eb343262,Maarten Paes,"['eredivisie', 'major_league_soccer', 'us_open_cup']",34,3090,0,0,0
4357f557,Troy Parrott,"['eredivisie', 'conference_league']",38,2972,19,5,24
3392603d,Remko Pasveer,"['eredivisie', 'champions_league']",17,1530,0,0,0
0df16cd7,Weslley Patati,"['eredivisie', 'conference_league']",37,2067,2,3,5
6e05b753,Raul Paula,['eredivisie'],21,713,2,2,4
99eb34c6,Benjamin Pauwels,"['eredivisie', 'segunda_division', 'copa_del_rey']",20,682,1,0,1
1118e3e3,Deron Payne,['eredivisie'],15,931,0,0,0
d4164b83,Marvin Peersman,['eredivisie'],33,2815,3,1,4
0d0adc6f,Guilherme Peixoto,['eredivisie'],1,8,0,0,0
df4b73f0,Alexandre Penetra,"['eredivisie', 'conference_league']",43,3655,2,1,3
a2b1ed42,Ricardo Pepi,"['eredivisie', 'champions_league']",31,1564,19,3,22
5c42e7ce,Brayann Pereira,['eredivisie'],24,1169,0,1,1
6fe90922,Ivan Perišić,"['eredivisie', 'champions_league']",38,2736,8,13,21
d2b135e1,Kristoffer Peterson,['eredivisie'],34,1689,3,2,5
0e9c4d5d,Hristiyan Petrov,['eredivisie'],21,521,0,0,0
cb54b01f,Oscar Pettersson,"['eredivisie', 'europa_league']",6,181,0,1,1
8d82551b,Ivo Pinto,['eredivisie'],28,2037,0,5,5
2c38b327,Marko Pjaca,['eredivisie'],27,925,2,1,3
12f21c14,Alex Plat,['eredivisie'],17,590,0,0,0
bc6bd723,Alassane Pléa,['eredivisie'],2,111,0,1,1
9d316080,Jan Plug,"['eredivisie', 'europa_league']",8,270,0,0,0
888ac4a5,Wouter Prins,['eredivisie'],21,487,0,2,2
77b49e13,Dirk Proper,['eredivisie'],22,1048,3,0,3
996fc502,Robin Pröpper,['eredivisie'],28,1721,0,0,0
d6beca48,Teo Quintero,['eredivisie'],31,2468,1,1,2
9b75440a,Calvin Raatsie,['eredivisie'],2,180,0,0,0
1ba6c2b3,Givairo Read,"['eredivisie', 'europa_league']",19,1173,2,3,5
296a3cc2,Daan van Reeuwijk,['eredivisie'],1,41,0,0,0
e0782abd,Youri Regeer,"['eredivisie', 'champions_league']",33,2119,0,2,2
bae360fd,Gyan de Regt,['eredivisie'],34,2656,3,7,10
d32ef527,Eliano Reijnders,['eredivisie'],2,43,0,0,0
d504b3e1,Jeff Reine-Adélaïde,['eredivisie'],1,33,0,0,0
78ddabe7,Daan Reiziger,['eredivisie'],2,102,0,0,0
6bcd2de7,Gabriel Reiziger,['eredivisie'],12,203,1,0,1
ec76c977,Marco Rente,['eredivisie'],29,2264,3,4,7
df90b7ad,Stije Resink,['eredivisie'],24,2088,5,5,10
7b14a59e,Pepijn Reulen,['eredivisie'],16,315,1,0,1
05ffdc7a,Jermaine Rijssel,['eredivisie'],1,6,0,0,0
46a7b605,Maxence Rivera,['eredivisie'],30,2052,4,4,8
f7b72cd7,Alwande Roaldsøy,['eredivisie'],4,53,0,0,0
f36c4094,Rio Robbemond,"['eredivisie', 'conference_league']",2,97,0,0,0
958d67bb,Miguel Rodríguez,"['eredivisie', 'europa_league']",32,2008,5,0,5
